url,meta,sender,sender_type,sender_id,page1text,page1emoji,page2text,page2emoji,page3text,page3emoji,page4text,page4emoji,page5text,page5emoji,page6text,page6emoji,page7text,page7emoji,page8text,page8emoji,page9text,page9emoji,page10text,page10emoji,page11text,page11emoji,page12text,page12emoji,page13text,page13emoji,page14text,page14emoji,page15text,page15emoji,page16text,page16emoji,page17text,page17emoji,page18text,page18emoji,page19text,page19emoji,page20text,page20emoji,page21text,page21emoji,page22text,page22emoji,page23text,page23emoji,page24text,page24emoji,questions,maxquestions,sex,age,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,i-have-received-written-information-about-the-purpose-and-methods-of-the-experiment-i-know-that-my-participation-is-voluntary-and-that-i-can-withdraw-from-the-experiment-at-any-time-without-having-to-give-a-reason-i-give-my-consent-to-participate-in-this-study-,what-is-your-sex,what-is-your-age-group,page6textanswer,how-much-do-you-agree-with-the-statement,page13emojianswer,page9textanswer,page18emojianswer,page8emojianswer,page12emojianswer,page19textanswer,page20textanswer,page18textanswer,page14emojianswer,page3emojianswer,page15textanswer,page16emojianswer,page1emojianswer,page1textanswer,page2textanswer,CK,page15emojianswer,page10emojianswer,page21emojianswer,page14textanswer,page22emojianswer,page11textanswer,page19emojianswer,page17emojianswer,page9emojianswer,page22textanswer,page7textanswer,page4emojianswer,page5textanswer,page12textanswer,page24textanswer,page20emojianswer,page8textanswer,page16textanswer,page23textanswer,page17textanswer,page11emojianswer,page24emojianswer,page7emojianswer,page4textanswer,page21textanswer,page23emojianswer,page6emojianswer,page2emojianswer,page5emojianswer,page3textanswer,page10textanswer,page13textanswer,totaltextanswers,totaltextscore,totalemojianswers,totalemojiscore,emojiscore,textscore
,,Page19_text,html.Page,4_6,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,8,24,100,100,,form submission,67269.83200002782,145353.34000003058,145350.362,145367.028,212636.8600000278,212637.87000003504,2020-10-28T09:53:36.925Z,212730.678,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,3,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page20_text,html.Page,4_7,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,9,24,100,100,,form submission,9669.627000017383,212717.85500005353,212714.012,212730.678,222400.3050000174,222400.57500003604,2020-10-28T09:53:46.688Z,222530.891,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,2,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page18_text,html.Page,4_8,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,9,24,100,100,,skipped,,222466.6900000302,,,222400.3050000174,222467.02000004007,2020-10-28T09:53:46.755Z,222530.891,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page14_emoji,html.Page,4_9,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,10,24,100,100,,form submission,16856.37400002667,222517.15500000864,222514.225,222530.891,239387.26500002667,239387.61000003433,2020-10-28T09:54:03.676Z,239478.71,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,1,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page3_emoji,html.Page,4_10,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,11,24,100,100,,form submission,10248.380000000325,239465.79500002554,239462.044,239478.71,249727.09000000032,249727.5550000486,2020-10-28T09:54:14.016Z,249841.47,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,5,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page15_text,html.Page,4_11,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,12,24,100,100,,form submission,139888.93000000037,249831.60500001395,249824.804,249841.47,389730.4000000004,389730.7200000505,2020-10-28T09:56:34.022Z,389873.58,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,6,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page16_emoji,html.Page,4_12,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,13,24,100,100,,form submission,457805.86000003625,389862.770000007,389856.914,389873.58,847679.4400000363,847679.9700000556,2020-10-28T10:04:11.983Z,847852.564,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,4,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page1_emoji,html.Page,4_13,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,14,24,100,100,,form submission,6869.876000041375,847839.5450000535,847835.898,847852.564,854722.4400000414,854722.8900000337,2020-10-28T10:04:19.026Z,854866.418,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page1_text,html.Page,4_14,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,14,24,100,100,,skipped,,854803.3600000199,,,854722.4400000414,854803.7900000345,2020-10-28T10:04:19.107Z,854866.418,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page2_text,html.Page,4_15,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,15,24,100,100,,form submission,6994.217000048258,854853.07500005,854849.752,854866.418,861860.6350000482,861861.2550000544,2020-10-28T10:04:26.164Z,862019.908,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
